危险因子	疾病	 OR 	references
饮食.微量元素=高盐饮食	胃癌	2.4	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
饮食.其他=常吃油炸食品	食管癌	2.37	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
饮食.习惯=进食快	食管癌	2.35	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
饮食.习惯=不规律	食管癌	2.34	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
BMI=[30,35) and 性别=男	痛风	2.33	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
疾病史.心脑血管=高血压	痛风	2.33	邵继红、沈洪兵、莫宝庆、徐耀初.社区人群痛风危险因素的病例对照研究[J].徐州医学院学报2003,23(6):503
疾病史.呼吸系统=慢性支气管炎	肺癌	 2.3 	王文雷,付莉,崔亚玲,陆维权.中国人群肺癌发病危险因素的Meta分析[J].现代预防医学,2008(22):4336-4338.
饮食.习惯=不规律	胃癌	2.3	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
治疗史=子宫或卵巢切除	肾癌	2.3	宫再兴, 王共先, 刘伟鹏, et al. 肾细胞癌中的环境因素和可调控危险因素的研究进展[J]. 实用医学杂志, 2014(5):834-837.
疾病史.精神或神经系统=精神病	肺癌	 2.3 	王文雷,付莉,崔亚玲,陆维权.中国人群肺癌发病危险因素的Meta分析[J].现代预防医学,2008(22):4336-4338.
生活方式.性生活=性伴侣包皮过长	宫颈癌	2.26	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
疾病史.消化系统=阑尾炎	肠癌	2.21	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
家族史.癌症=宫颈癌	宫颈癌	2.21	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
